"indx","location","datetime","watertemp_C","airtemp_C","rain_in","raindays","windspeed_mph","flow_cfs","par_uE","lg_prb_R2_pct","lg_prb_R3_pct","lg_prb_R4_pct","li_conc_LF_cfu","lg_prb_LF_pct","cso_CP","cyano_NewtonYC","cyano_WatertownYC","cyano_CommRowing","cyano_CRCK","cyano_HarvardWeld","cyano_RiversideBC","cyano_CRYC","cyano_UnionBC","cyano_CommBoating","cyano_CRCKKendall"
"1","Charles","2018-05-01 00:00:00","-84.01","7.75","0.00","0.04","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"2","Charles","2018-05-01 01:00:00","-84.01","7.76","0.00","0.08","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"3","Charles","2018-05-01 02:00:00","-84.01","7.72","0.00","0.13","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"4","Charles","2018-05-01 03:00:00","-84.01","7.65","0.00","0.17","0.00","993.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"5","Charles","2018-05-01 04:00:00","-84.01","7.45","0.00","0.21","0.00","990.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"6","Charles","2018-05-01 05:00:00","-84.01","7.70","0.00","0.25","0.00","987.50","4.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"7","Charles","2018-05-01 06:00:00","-84.01","7.89","0.00","0.29","0.00","985.00","156.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"8","Charles","2018-05-01 07:00:00","-84.01","9.05","0.00","0.33","0.00","983.80","578.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"9","Charles","2018-05-01 08:00:00","-84.27","10.00","0.00","0.38","0.00","980.00","847.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"10","Charles","2018-05-01 09:00:00","-84.53","11.01","0.00","0.42","0.00","981.30","1280.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"11","Charles","2018-05-01 10:00:00","-85.05","12.27","0.00","0.46","0.00","980.00","952.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"12","Charles","2018-05-01 11:00:00","-85.05","13.31","0.00","0.50","0.00","986.30","944.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"13","Charles","2018-05-01 12:00:00","-85.58","14.28","0.00","0.54","0.00","974.30","934.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"14","Charles","2018-05-01 13:00:00","-85.58","14.84","0.00","0.58","0.00","965.30","1400.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"15","Charles","2018-05-01 14:00:00","-85.88","15.47","0.00","0.63","0.00","956.50","1348.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"16","Charles","2018-05-01 15:00:00","-85.88","16.41","0.00","0.67","0.00","947.80","1710.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"17","Charles","2018-05-01 16:00:00","-86.77","17.50","0.00","0.71","0.00","940.30","1027.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"18","Charles","2018-05-01 17:00:00","-87.06","18.44","0.00","0.75","0.00","937.80","670.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"19","Charles","2018-05-01 18:00:00","-87.36","18.82","0.00","0.79","0.00","934.00","328.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"20","Charles","2018-05-01 19:00:00","-87.06","18.56","0.00","0.83","0.00","930.30","33.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"21","Charles","2018-05-01 20:00:00","-87.36","18.91","0.00","0.88","0.00","929.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"22","Charles","2018-05-01 21:00:00","-87.36","17.53","0.00","0.92","0.00","926.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"23","Charles","2018-05-01 22:00:00","-86.17","16.55","0.00","0.96","0.00","922.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"24","Charles","2018-05-01 23:00:00","-86.77","16.53","0.00","1.00","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"25","Charles","2018-05-02 00:00:00","-86.77","16.71","0.00","1.04","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"26","Charles","2018-05-02 01:00:00","-87.06","16.95","0.00","1.08","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"27","Charles","2018-05-02 02:00:00","-87.06","17.00","0.00","1.13","0.00","915.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"28","Charles","2018-05-02 03:00:00","-86.77","17.03","0.00","1.17","0.00","914.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"29","Charles","2018-05-02 04:00:00","-86.77","16.67","0.00","1.21","0.00","913.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"30","Charles","2018-05-02 05:00:00","-87.36","16.79","0.00","1.25","0.00","911.80","7.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"31","Charles","2018-05-02 06:00:00","-87.06","17.33","0.00","1.29","0.00","909.30","170.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"32","Charles","2018-05-02 07:00:00","-87.36","18.68","0.00","1.33","0.00","908.00","556.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"33","Charles","2018-05-02 08:00:00","-87.36","20.52","0.00","1.38","0.00","908.00","938.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"34","Charles","2018-05-02 09:00:00","-87.36","22.72","0.00","1.42","0.00","908.00","1228.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"35","Charles","2018-05-02 10:00:00","-87.36","24.75","0.00","1.46","0.00","906.80","1625.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"36","Charles","2018-05-02 11:00:00","-87.36","25.37","0.00","1.50","0.00","902.00","1780.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"37","Charles","2018-05-02 12:00:00","-87.36","26.46","0.00","1.54","0.00","901.00","1864.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"38","Charles","2018-05-02 13:00:00","-87.36","27.00","0.00","1.58","0.00","902.00","1849.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"39","Charles","2018-05-02 14:00:00","-87.36","27.57","0.00","1.63","0.00","901.00","1680.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"40","Charles","2018-05-02 15:00:00","-87.36","28.90","0.00","1.67","0.00","898.80","1438.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"41","Charles","2018-05-02 16:00:00","-87.36","29.00","0.00","1.71","0.00","897.80","984.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"42","Charles","2018-05-02 17:00:00","-87.36","29.15","0.00","1.75","0.00","894.00","558.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"43","Charles","2018-05-02 18:00:00","-87.71","28.89","0.00","1.79","0.00","889.00","283.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"44","Charles","2018-05-02 19:00:00","-87.36","27.87","0.00","1.83","0.00","886.50","48.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"45","Charles","2018-05-02 20:00:00","-87.71","27.02","0.00","1.88","0.00","887.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"46","Charles","2018-05-02 21:00:00","-87.36","25.67","0.00","1.92","0.00","885.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"47","Charles","2018-05-02 22:00:00","-87.36","24.34","0.00","1.96","0.00","884.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"48","Charles","2018-05-02 23:00:00","-87.36","23.40","0.00","2.00","0.00","884.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"49","Charles","2018-05-03 00:00:00","-87.36","22.44","0.00","2.04","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"50","Charles","2018-05-03 01:00:00","-87.36","21.00","0.00","2.08","0.00","882.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"51","Charles","2018-05-03 02:00:00","-87.36","21.08","0.00","2.13","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"52","Charles","2018-05-03 03:00:00","-87.36","21.29","0.00","2.17","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"53","Charles","2018-05-03 04:00:00","-87.36","20.50","0.00","2.21","0.00","879.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
